FID,CH4,latitude,longitude,State
63029,1.94908671,39.2941266,-102.4365348,Colorado
63035,1.95013662,39.2941319,-102.4350344,Colorado
63041,1.9565427,39.29414456,-102.8363924,Colorado
63047,1.95123622,39.29414756,-102.4316449,Colorado
63053,1.95108417,39.29415276,-102.7640624,Colorado
63059,1.94932694,39.29415943,-102.7648114,Colorado
63065,1.95181539,39.29416734,-102.7655617,Colorado
63071,1.93782303,39.29417879,-103.8000085,Colorado
63077,2.00196512,39.294181,-102.4249468,Colorado
63083,1.95065705,39.29418885,-102.7678212,Colorado
63089,1.95119071,39.29419525,-102.7685752,Colorado
63095,1.94734918,39.29420245,-102.4212331,Colorado
63101,1.94736709,39.2942079,-102.4204835,Colorado
63107,1.95195256,39.29421676,-102.7708245,Colorado
63113,1.95180322,39.2942246,-102.7715706,Colorado
63119,1.95448597,39.2942293,-102.2842755,Colorado
63125,1.95289172,39.29423085,-102.2848623,Colorado
63131,1.95605626,39.29423535,-102.8330284,Colorado
63137,1.95005637,39.2942419,-102.414064,Colorado
63143,1.94832295,39.29424747,-102.4133128,Colorado
63149,1.95235297,39.29425487,-102.2867239,Colorado
63155,1.9476754,39.29425747,-102.4114458,Colorado
63161,1.94937664,39.29426444,-102.2829122,Colorado
63167,1.94951872,39.29426885,-102.4088311,Colorado
63173,1.95430652,39.29427307,-102.7775533,Colorado
63179,1.94894308,39.29427922,-102.4073293,Colorado
63185,1.95678357,39.2942812,-102.779815,Colorado
63191,1.95526759,39.2942855,-102.780569,Colorado
63197,1.95379054,39.2942875,-102.2907597,Colorado
63203,1.94899299,39.29429147,-102.4047056,Colorado
63209,1.95361512,39.29429643,-102.2939907,Colorado
63215,1.95488455,39.29429748,-102.8307714,Colorado
63221,1.95216857,39.29430062,-102.4693333,Colorado
63227,1.95425696,39.29430924,-102.295506,Colorado
63233,1.95453602,39.29431057,-102.7820677,Colorado
63239,1.95486194,39.2943145,-102.2985244,Colorado
63245,1.94986101,39.29432318,-102.3990603,Colorado
63251,1.9494021,39.29432745,-102.398309,Colorado
63257,1.95735893,39.29433068,-102.3019322,Colorado
63263,1.95201489,39.29433668,-102.7839233,Colorado
